Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
298088,GS,DMGM,5050,,1.5,1.5,1.5,EN,2025,FW,GS,FA,Management Information Systems,GS,DMGM,N,N,N,A,EN,25,30,30,GS,DMGM,LECT,1,W,MA,EN,25,30,30,R,19:00,180,2,MK,6015,36,,Course Director:,Section Director:,Meet Instructor:,891007
298090,GS,DMGM,5070,,1.5,1.5,1.5,EN,2025,FW,GS,FA,Organizational Behavior,GS,DMGM,N,N,N,A,EN,24,30,30,GS,DMGM,LECT,1,W,MA,EN,24,30,30,R,16:00,180,2,MK,5030,38,,Course Director:,Section Director: 102025848  Deutsch Salamon Sabrina,Meet Instructor: 102025848  Deutsch Salamon Sabrina,891009
298093,GS,DMGM,5110,,1.5,1.5,1.5,EN,2025,FW,GS,FB,Fundamentals of Public Sector Management,GS,DMGM,N,N,N,A,EN,7,30,30,GS,DMGM,LECT,1,W,MA,EN,7,30,30,R,16:00,180,2,MK,5030,38,,Course Director:,Section Director: 102080159  Lai Poland,Meet Instructor: 102080159  Lai Poland,891013
298054,GS,MSMG,6010,,3,3,3,EN,2025,FW,GS,F,Quantitative Methods for Business and Management Research,GS,FAS,N,N,N,B,EN,11,15,15,GS,FAS,LECT,1,W,MA,EN,11,15,15,R,19:00,180,2,MK,5070,50,,Course Director:,Section Director: 102039673  Rusetski Aliaksandr I,Meet Instructor: 102039673  Rusetski Aliaksandr I,871584
298055,GS,MSMG,6020,,3,3,3,EN,2025,FW,GS,F,Research Design and Qualitative Methods,GS,FAS,N,N,N,B,EN,13,15,15,GS,FAS,LECT,1,W,MA,EN,13,15,15,R,16:00,180,2,MK,5070,50,,Course Director:,Section Director: 102117601  Shams Farshid,Meet Instructor: 102117601  Shams Farshid,871586
309835,LE,CSSD,1101,,3,3,3,EN,2025,FW,LE,M1,Coding through Biology (CS1 A),LE,EECS,N,Y,N,A,EN,48,96,96,LE,EECS,LECT,1,W,MA,EN,48,96,96,R,9:30,110,2,MK,2055,100,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor: 102122394  Qin Meiying,893393
309835,LE,CSSD,1101,,3,3,3,EN,2025,FW,LE,M1,Coding through Biology (CS1 A),LE,EECS,N,Y,N,A,EN,48,96,96,LE,EECS,LAB,1,W,MA,EN,30,48,48,R,12:30,230,2,MK,4005,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,893389
309835,LE,CSSD,1101,,3,3,3,EN,2025,FW,LE,M1,Coding through Biology (CS1 A),LE,EECS,N,Y,N,A,EN,48,96,96,LE,EECS,LAB,2,W,MA,EN,18,48,48,R,12:30,230,2,MK,4010,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,893390
309835,LE,CSSD,1101,,3,3,3,EN,2025,FW,LE,M1,Coding through Biology (CS1 A),LE,EECS,N,Y,N,A,EN,48,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,R,12:30,230,1,MK,4000,32,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,893391
310335,LE,CSSD,1102,,3,3,3,EN,2025,FW,LE,M2,Coding through Chemistry (CS1 B),LE,EECS,N,Y,N,A,EN,51,96,96,LE,EECS,LECT,1,W,MA,EN,51,96,96,R,9:30,110,2,MK,2055,100,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor: 102122394  Qin Meiying,895342
