Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
309815,FA,CRTE,2700,,3,3,3,EN,2025,FW,FA,F,Creative Technologies Entrepreneurship,FA,F.A.,N,N,N,A,EN,35,52,52,FA,F.A.,LECT,1,W,MA,EN,35,52,52,W,11:30,170,,MK,4100,52,,Course Director:,Section Director: 102116768  Caines Rebecca,Meet Instructor: 102116768  Caines Rebecca,893764
306589,GS,BIOT,5000,,3,3,3,EN,2025,FW,GS,F,Capstone Experience in Biotechnology Management,GS,BIOL,N,N,N,A,EN,18,21,21,GS,BIOL,BLEN,1,W,MA,EN,18,21,21,W,16:00,170,9,MK,4040,50,,Course Director:,Section Director: 102128609  Puentes Jacome Luz Adriana,Meet Instructor: 102128609  Puentes Jacome Luz Adriana,865906
306590,GS,BIOT,5020,,3,3,3,EN,2025,FW,GS,F,Science Communication and Writing,GS,BIOL,N,N,N,A,EN,32,40,40,GS,BIOL,BLEN,1,W,MA,EN,32,40,40,W,12:00,50,9,,,,,Course Director:,Section Director: 102128609  Puentes Jacome Luz Adriana,Meet Instructor: 102128609  Puentes Jacome Luz Adriana,865908
298054,GS,MSMG,6010,,3,3,3,EN,2025,FW,GS,F,Quantitative Methods for Business and Management Research,GS,FAS,N,N,N,A,EN,11,15,15,GS,FAS,LECT,1,W,MA,EN,11,15,15,W,16:00,180,2,MK,5035,25,,Course Director:,Section Director: 102039673  Rusetski Aliaksandr I,Meet Instructor: 102039673  Rusetski Aliaksandr I,871583
298055,GS,MSMG,6020,,3,3,3,EN,2025,FW,GS,F,Research Design and Qualitative Methods,GS,FAS,N,N,N,A,EN,11,15,15,GS,FAS,LECT,1,W,MA,EN,11,15,15,W,19:00,180,2,MK,5050,49,,Course Director:,Section Director: 102117601  Shams Farshid,Meet Instructor: 102117601  Shams Farshid,871585
309835,LE,CSSD,1101,,3,3,3,EN,2025,FW,LE,M1,Coding through Biology (CS1 A),LE,EECS,N,Y,N,A,EN,48,96,96,LE,EECS,LECT,1,W,MA,EN,48,96,96,W,10:00,50,2,MK,2055,100,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor: 102122394  Qin Meiying,893392
310335,LE,CSSD,1102,,3,3,3,EN,2025,FW,LE,M2,Coding through Chemistry (CS1 B),LE,EECS,N,Y,N,A,EN,51,96,96,LE,EECS,LECT,1,W,MA,EN,51,96,96,W,10:00,50,2,MK,2055,100,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor: 102122394  Qin Meiying,895341
308540,LE,CSSD,2101,,4,4,4,EN,2025,FW,LE,F,Object-Oriented Programming,LE,EECS,Y,N,Y,A,EN,74,96,96,LE,EECS,LAB,1,W,MA,EN,36,48,48,W,13:00,230,,MK,4005,48,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor:,893416
308540,LE,CSSD,2101,,4,4,4,EN,2025,FW,LE,F,Object-Oriented Programming,LE,EECS,Y,N,Y,A,EN,74,96,96,LE,EECS,LAB,2,W,MA,EN,38,48,48,W,13:00,230,,MK,4010,48,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor:,893417
308540,LE,CSSD,2101,,4,4,4,EN,2025,FW,LE,F,Object-Oriented Programming,LE,EECS,Y,N,Y,A,EN,74,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,W,13:00,230,1,MK,4000,32,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor:,893418
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,BLEN,1,M,MA,EN,23,28,28,W,13:00,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893267
